Year, Week, Age Group,A (H1),A (Unable to Subtype),A (H3),A (H1N1)pdm09,A (Subtyping not Performed),B (Victoria Lineage),B (Yamagata Lineage),B (Lineage Unspecified),H3N2v
2018,7,65+ yr,0,0,514,67,17,6,249,25,0
2018,8,65+ yr,0,0,422,48,5,9,279,40,0
2018,9,65+ yr,0,0,210,35,2,3,243,39,0
2018,10,65+ yr,0,0,130,19,2,4,204,36,0
2018,11,65+ yr,0,0,108,25,0,3,215,27,0
2018,12,65+ yr,0,0,77,17,2,4,157,24,0
2018,13,65+ yr,0,0,64,16,1,8,167,26,0
2018,14,65+ yr,0,0,48,8,3,7,149,11,0
2018,15,65+ yr,0,0,33,13,0,7,117,8,0
2018,16,65+ yr,0,0,39,3,0,5,82,9,0
2018,17,65+ yr,0,0,21,7,0,0,55,8,0
2018,18,65+ yr,0,0,8,4,0,1,43,7,0
2018,19,65+ yr,0,0,6,1,0,0,27,2,0
2018,20,65+ yr,0,0,3,3,0,2,5,1,0
2018,21,65+ yr,0,0,2,2,0,1,5,3,0
2018,22,65+ yr,0,0,0,2,0,0,5,2,0
2018,23,65+ yr,0,0,0,2,0,0,4,2,0
2018,24,65+ yr,0,0,0,1,0,0,2,0,0
2018,25,65+ yr,0,0,0,0,0,0,3,0,0
2018,26,65+ yr,0,0,0,0,0,0,1,0,0
2018,27,65+ yr,0,0,4,1,0,0,2,0,0
2018,28,65+ yr,0,0,6,0,0,1,3,1,0
2018,29,65+ yr,0,0,3,1,0,1,2,0,0
2018,30,65+ yr,0,0,0,1,0,0,0,0,0
2018,31,65+ yr,0,0,3,1,1,0,1,0,0
2018,32,65+ yr,0,0,3,1,0,0,1,0,0
2018,33,65+ yr,0,0,7,1,0,0,0,0,0
2018,34,65+ yr,0,0,10,2,3,0,0,1,0
2018,35,65+ yr,0,0,3,3,0,0,0,0,0
2018,36,65+ yr,0,0,9,3,0,0,0,0,0
2018,37,65+ yr,0,0,6,3,0,1,1,0,0
2018,38,65+ yr,0,0,7,5,0,0,0,0,0
2018,39,65+ yr,0,0,7,2,0,0,0,0,0
