country,target,par,mean,hpd_l,hpd_r,non_trivial,gni,median_age
ARE,impact,treat_bxm0524,-4.905651450452689,-7.988613152125766,-1.6068824296624946,1,49020.0,30.9
ARG,impact,treat_bxm0524,-5.149864595389168,-8.212124745905175,-1.8029712898572487,1,12890.0,31.7
ARM,impact,treat_bxm0524,-6.566922841507569,-9.691160511789466,-3.3213555529622987,1,6780.0,35.8
ATG,impact,treat_bxm0524,-4.429400715745738,-7.4060220683125095,-1.1342111916668038,1,20200.0,35.1
AUS,impact,treat_bxm0524,-6.309069307061465,-9.355107978691269,-3.0536154767571126,1,63150.0,37.5
AUT,impact,treat_bxm0524,-6.968107825558441,-10.208104888051656,-3.8573130999131138,1,55030.0,42.8
AZE,impact,treat_bxm0524,-5.663348211319715,-8.690200855029973,-2.392722200330777,1,6660.0,32.1
BDI,impact,treat_bxm0524,-3.326398031409658,-6.4289594334480515,0.0063534101348086125,0,220.0,15.7
BEL,impact,treat_bxm0524,-7.6630221225571,-10.652260513233688,-4.266160314970067,1,54580.0,41.2
BEN,impact,treat_bxm0524,-3.536934922150496,-6.603300691693608,-0.2486611034957118,1,1390.0,17.6
BFA,impact,treat_bxm0524,-3.043107243005041,-6.032385941161843,0.2618708556171665,0,860.0,17.0
BGD,impact,treat_bxm0524,-4.006878538148873,-6.966501219613222,-0.6591086197711693,1,2880.0,25.0
BGR,impact,treat_bxm0524,-7.330089860489777,-10.413358054254482,-3.988286756067783,1,14280.0,44.2
BHR,impact,treat_bxm0524,-3.5679787438414454,-6.558651887553122,-0.18677096280659455,1,28300.0,31.7
BHS,impact,treat_bxm0524,-4.1546313025060915,-7.258201868725081,-0.8678991946741803,1,33330.0,34.2
BIH,impact,treat_bxm0524,-5.532027213830254,-8.494797698021532,-2.1863136058319412,1,8280.0,44.6
BLR,impact,treat_bxm0524,-6.57980760397613,-9.748086713025724,-3.3483734296298664,1,7790.0,40.2
BLZ,impact,treat_bxm0524,-3.5428787697926616,-6.4096645246406645,-0.07202030231597334,1,6890.0,25.5
BOL,impact,treat_bxm0524,-4.774954354145132,-7.67019800488511,-1.3801792284535388,1,3620.0,24.4
BRA,impact,treat_bxm0524,-4.87498049711126,-7.814176755078862,-1.5503158774429853,1,9280.0,33.5
